Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Month Name,Hour(Order),Diff(order and del),Days,Hour(delivery_time),Product.Price (INR),Revenu,Order_Days,Order_Date (Month Index),Order_Date (Month),0
5,C078,58,2,2023-02-11,7:44:48 PM,2023-02-18,11:08:52 AM,Rajkot,Valentine's Day,February,19,7,7,11,1492,2984,Saturday,2,Feb,
56,C095,58,5,2023-02-08,12:11:48 PM,2023-02-13,6:51:59 PM,Danapur,Valentine's Day,February,12,5,5,18,1492,7460,Wednesday,2,Feb,
37,C096,19,5,2023-02-10,11:01:04 AM,2023-02-15,9:19:36 PM,Katni,Valentine's Day,February,11,5,5,21,1234,6170,Friday,2,Feb,
20,C011,52,1,2023-02-11,2:36:57 PM,2023-02-14,1:34:16 AM,Madurai,Valentine's Day,February,14,3,3,1,236,236,Saturday,2,Feb,
43,C046,49,3,2023-02-12,10:31:16 PM,2023-02-16,2:47:47 AM,Sambalpur,Valentine's Day,February,22,4,4,2,903,2709,Sunday,2,Feb,
78,C062,11,2,2023-02-04,1:00:09 PM,2023-02-08,8:31:15 PM,Pallavaram,Valentine's Day,February,13,4,4,20,1096,2192,Saturday,2,Feb,
87,C055,2,5,2023-02-04,1:17:21 PM,2023-02-11,11:06:36 PM,Malda,Valentine's Day,February,13,7,7,23,441,2205,Saturday,2,Feb,
89,C060,3,5,2023-02-12,10:56:52 PM,2023-02-13,2:41:41 PM,Aurangabad,Valentine's Day,February,22,1,1,14,1534,7670,Sunday,2,Feb,
121,C048,33,3,2023-02-05,2:18:55 AM,2023-02-09,7:29:31 AM,Guntur,Valentine's Day,February,2,4,4,7,314,942,Sunday,2,Feb,
126,C040,19,5,2023-02-04,2:28:24 AM,2023-02-13,1:16:38 PM,Dharmavaram,Valentine's Day,February,2,9,9,13,1234,6170,Saturday,2,Feb,
131,C078,3,5,2023-02-04,8:30:50 PM,2023-02-11,8:29:03 AM,Satara,Valentine's Day,February,20,7,7,8,1534,7670,Saturday,2,Feb,
132,C045,49,4,2023-02-04,11:23:41 PM,2023-02-13,7:55:48 PM,Thoothukudi,Valentine's Day,February,23,9,9,19,903,3612,Saturday,2,Feb,
146,C030,52,5,2023-02-13,6:23:55 PM,2023-02-16,4:07:37 AM,Vijayawada,Valentine's Day,February,18,3,3,4,236,1180,Monday,2,Feb,
161,C054,58,3,2023-02-13,3:08:06 AM,2023-02-14,11:12:01 PM,Karaikudi,Valentine's Day,February,3,1,1,23,1492,4476,Monday,2,Feb,
